number;incident_state;active;reassignment_count;reopen_count;sys_mod_count;made_sla;opened_at;impact;urgency;priority;knowledge;resolved_at;closed_at
INC0000045;Closed;false;0;0;4;true;29/2/2016 01:16;2 - Medium;2 - Medium;3 - Moderate;true;29/02/2016 11:29;05/03/2016 12:00
INC0000047;Closed;false;1;0;8;true;29/2/2016 04:40;2 - Medium;2 - Medium;3 - Moderate;true;01/03/2016 09:52;06/03/2016 10:00
INC0000057;Closed;false;0;0;6;true;29/2/2016 06:10;2 - Medium;2 - Medium;3 - Moderate;true;01/03/2016 02:55;06/03/2016 03:00
INC0000060;Closed;false;0;0;3;true;29/2/2016 06:38;2 - Medium;2 - Medium;3 - Moderate;true;02/03/2016 12:06;07/03/2016 13:00
INC0000062;Closed;false;1;0;7;false;29/2/2016 06:58;1 - High;2 - Medium;2 - High;true;29/02/2016 15:51;05/03/2016 16:00
INC0000063;Closed;false;1;0;7;true;29/2/2016 07:08;2 - Medium;2 - Medium;3 - Moderate;true;29/02/2016 16:01;05/03/2016 17:00
INC0000064;Closed;false;1;0;8;true;29/2/2016 07:10;2 - Medium;2 - Medium;3 - Moderate;true;03/03/2016 16:00;08/03/2016 17:00
INC0000065;Closed;false;6;0;13;true;29/2/2016 07:38;2 - Medium;2 - Medium;3 - Moderate;true;02/03/2016 15:21;07/03/2016 16:00
INC0000066;Closed;false;1;0;3;true;29/2/2016 08:03;2 - Medium;2 - Medium;3 - Moderate;true;02/03/2016 14:37;07/03/2016 15:00
INC0000067;Closed;false;1;0;10;true;29/2/2016 08:03;2 - Medium;2 - Medium;3 - Moderate;true;02/03/2016 11:11;07/03/2016 12:00
INC0000070;Closed;false;1;0;9;false;29/2/2016 08:11;2 - Medium;2 - Medium;3 - Moderate;true;08/03/2016 09:55;24/03/2016 18:40
INC0000071;Closed;false;0;0;7;true;29/2/2016 08:12;2 - Medium;2 - Medium;3 - Moderate;true;01/03/2016 10:38;06/03/2016 11:00
INC0000073;Closed;false;1;0;6;true;29/2/2016 08:22;2 - Medium;2 - Medium;3 - Moderate;true;01/03/2016 15:37;06/03/2016 16:00
INC0000074;Closed;false;0;0;19;false;29/2/2016 08:23;2 - Medium;2 - Medium;3 - Moderate;true;11/04/2016 14:39;16/04/2016 15:07
INC0000076;Closed;false;0;0;2;true;29/2/2016 08:25;2 - Medium;2 - Medium;3 - Moderate;true;29/02/2016 16:27;05/03/2016 17:00
INC0000077;Closed;false;0;0;5;true;29/2/2016 08:27;2 - Medium;2 - Medium;3 - Moderate;true;29/02/2016 09:04;05/03/2016 10:00
INC0000079;Closed;false;1;0;4;true;29/2/2016 08:32;2 - Medium;2 - Medium;3 - Moderate;true;29/02/2016 11:20;05/03/2016 12:00
INC0000080;Closed;false;0;0;7;true;29/2/2016 08:33;2 - Medium;2 - Medium;3 - Moderate;true;02/03/2016 11:40;07/03/2016 12:00
INC0000083;Closed;false;1;0;4;true;29/2/2016 08:39;3 - Low;3 - Low;4 - Low;true;29/02/2016 16:05;05/03/2016 17:00
INC0000084;Closed;false;0;0;19;false;29/2/2016 08:39;3 - Low;3 - Low;4 - Low;true;12/04/2016 14:46;17/04/2016 15:07
INC0000085;Closed;false;0;0;6;true;29/2/2016 08:41;2 - Medium;2 - Medium;3 - Moderate;true;02/03/2016 14:44;07/03/2016 15:00
INC0000086;Closed;false;1;0;8;true;29/2/2016 08:43;2 - Medium;2 - Medium;3 - Moderate;true;01/03/2016 15:45;06/03/2016 16:00
INC0000087;Closed;false;0;0;3;true;29/2/2016 08:47;2 - Medium;2 - Medium;3 - Moderate;true;02/03/2016 14:46;07/03/2016 15:00
INC0000088;Closed;false;0;0;2;true;29/2/2016 08:48;2 - Medium;2 - Medium;3 - Moderate;true;29/02/2016 09:05;05/03/2016 10:00
INC0000089;Closed;false;3;0;9;true;29/2/2016 08:51;2 - Medium;3 - Low;4 - Low;true;03/03/2016 14:35;08/03/2016 15:00
INC0000092;Closed;false;1;0;6;false;29/2/2016 08:55;2 - Medium;2 - Medium;3 - Moderate;true;07/03/2016 08:45;12/03/2016 09:00
INC0000093;Closed;false;0;0;1;true;29/2/2016 08:56;2 - Medium;2 - Medium;3 - Moderate;true;;05/03/2016 10:00
INC0000094;Closed;false;0;0;10;false;29/2/2016 08:58;3 - Low;3 - Low;4 - Low;true;10/03/2016 10:45;24/03/2016 18:50
INC0000098;Closed;false;1;0;5;true;29/2/2016 09:02;2 - Medium;2 - Medium;3 - Moderate;true;02/03/2016 14:51;07/03/2016 15:00
INC0000099;Closed;false;1;0;3;true;29/2/2016 09:03;2 - Medium;2 - Medium;3 - Moderate;true;01/03/2016 09:05;06/03/2016 10:00
INC0000100;Closed;false;0;0;3;true;29/2/2016 09:05;2 - Medium;2 - Medium;3 - Moderate;true;02/03/2016 14:53;07/03/2016 15:00
INC0000101;Closed;false;0;0;6;true;29/2/2016 09:05;2 - Medium;3 - Low;4 - Low;true;29/02/2016 11:00;05/03/2016 12:00
INC0000102;Closed;false;4;1;19;false;29/2/2016 09:06;2 - Medium;2 - Medium;3 - Moderate;true;17/03/2016 16:28;24/03/2016 18:59
INC0000103;Closed;false;0;0;3;true;29/2/2016 09:07;2 - Medium;2 - Medium;3 - Moderate;true;02/03/2016 14:54;07/03/2016 15:00
INC0000104;Closed;false;1;0;6;false;29/2/2016 09:08;1 - High;2 - Medium;2 - High;true;01/03/2016 11:55;06/03/2016 12:00
INC0000105;Closed;false;1;0;7;true;29/2/2016 09:10;2 - Medium;2 - Medium;3 - Moderate;true;29/02/2016 11:58;05/03/2016 12:00
INC0000110;Closed;false;0;0;3;true;29/2/2016 09:13;2 - Medium;2 - Medium;3 - Moderate;true;02/03/2016 14:55;07/03/2016 15:00
INC0000111;Closed;false;0;0;3;true;29/2/2016 09:14;2 - Medium;2 - Medium;3 - Moderate;true;02/03/2016 14:56;07/03/2016 15:00
INC0000112;Closed;false;2;0;5;true;29/2/2016 09:15;2 - Medium;2 - Medium;3 - Moderate;true;02/03/2016 15:13;07/03/2016 16:00
INC0000113;Closed;false;0;0;4;true;29/2/2016 09:18;2 - Medium;2 - Medium;3 - Moderate;true;02/03/2016 19:30;07/03/2016 20:00
INC0000114;Closed;false;1;0;9;true;29/2/2016 09:18;2 - Medium;2 - Medium;3 - Moderate;true;03/03/2016 01:18;08/03/2016 02:00
INC0000115;Closed;false;2;0;5;true;29/2/2016 09:20;2 - Medium;2 - Medium;3 - Moderate;true;01/03/2016 08:50;06/03/2016 09:00
INC0000116;Closed;false;1;0;3;true;29/2/2016 09:20;2 - Medium;2 - Medium;3 - Moderate;true;01/03/2016 12:02;06/03/2016 13:00
INC0000119;Closed;false;0;0;3;true;29/2/2016 09:22;2 - Medium;2 - Medium;3 - Moderate;true;01/03/2016 09:03;06/03/2016 10:00
INC0000121;Closed;false;0;0;2;true;29/2/2016 09:25;2 - Medium;2 - Medium;3 - Moderate;true;29/02/2016 16:31;05/03/2016 17:00
INC0000122;Closed;false;1;0;4;true;29/2/2016 09:27;2 - Medium;2 - Medium;3 - Moderate;true;01/03/2016 16:50;06/03/2016 17:00
INC0000123;Closed;false;0;0;3;true;29/2/2016 09:29;2 - Medium;2 - Medium;3 - Moderate;true;02/03/2016 14:56;07/03/2016 15:00
INC0000124;Closed;false;0;0;3;true;29/2/2016 09:30;2 - Medium;2 - Medium;3 - Moderate;true;29/02/2016 11:05;05/03/2016 12:00
INC0000125;Closed;false;1;0;6;true;29/2/2016 09:31;2 - Medium;2 - Medium;3 - Moderate;true;01/03/2016 08:32;06/03/2016 09:00
